Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:es,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:3000
3153e491-e67a-49d7-b520-fec96ce7887c,,,Order Frequency,Order Frequency,,Frecuencia de orden,Frecuencia de orden,,ConvSet,Coded,d46ae114-5e07-11ef-8f7c-0242ac120002;d46b3ffe-5e07-11ef-8f7c-0242ac120002;d46b7993-5e07-11ef-8f7c-0242ac120002;d46bafec-5e07-11ef-8f7c-0242ac120002;d556eaac-5e07-11ef-8f7c-0242ac120002;d5573edd-5e07-11ef-8f7c-0242ac120002;d557a1e4-5e07-11ef-8f7c-0242ac120002;d5580383-5e07-11ef-8f7c-0242ac120002;d5585e8a-5e07-11ef-8f7c-0242ac120002;d558c434-5e07-11ef-8f7c-0242ac120002;d5592067-5e07-11ef-8f7c-0242ac120002;d5596cd5-5e07-11ef-8f7c-0242ac120002;d55a4fc8-5e07-11ef-8f7c-0242ac120002;d55aa463-5e07-11ef-8f7c-0242ac120002;d55af304-5e07-11ef-8f7c-0242ac120002;d55b3879-5e07-11ef-8f7c-0242ac120002;d55b7bda-5e07-11ef-8f7c-0242ac120002;d55bc037-5e07-11ef-8f7c-0242ac120002;d5d7b695-5e07-11ef-8f7c-0242ac120002;d5d80cd5-5e07-11ef-8f7c-0242ac120002;d5d858de-5e07-11ef-8f7c-0242ac120002;d5d8b2a7-5e07-11ef-8f7c-0242ac120002;d4704115-5e07-11ef-8f7c-0242ac120002,,,
d46ae114-5e07-11ef-8f7c-0242ac120002,,,Once a day,OD,,Una vez al dia,OD,,Frequency,N/A,,,,
d46b3ffe-5e07-11ef-8f7c-0242ac120002,,,Twice a day,BD,,Dos veces al dia,BD,,Frequency,N/A,,,,
d46b7993-5e07-11ef-8f7c-0242ac120002,,,Thrice a day,TDS,,Tres veces al dia,TDS,,Frequency,N/A,,,,
d46bafec-5e07-11ef-8f7c-0242ac120002,,,Four times a day,QDS,,Cuatro veces al dia,QDS,,Frequency,N/A,,,,
d556eaac-5e07-11ef-8f7c-0242ac120002,,,Every Hour,QH,,Cada hora,QH,,Frequency,N/A,,,,
d5573edd-5e07-11ef-8f7c-0242ac120002,,,Every 2 hours,Q2H,,Cada 2 horas,Q2H,,Frequency,N/A,,,,
d557a1e4-5e07-11ef-8f7c-0242ac120002,,,Every 3 hours,Q3H,,Cada 3 horas,Q3H,,Frequency,N/A,,,,
d5580383-5e07-11ef-8f7c-0242ac120002,,,Every 4 hours,Q4H,,Cada 4 horas,Q4H,,Frequency,N/A,,,,
d5585e8a-5e07-11ef-8f7c-0242ac120002,,,Every 6 hours,Q6H,,Cada 6 horas,Q6H,,Frequency,N/A,,,,
d558c434-5e07-11ef-8f7c-0242ac120002,,,Every 8 hours,Q8H,,Cada 8 horas,Q8H,,Frequency,N/A,,,,
d5592067-5e07-11ef-8f7c-0242ac120002,,,Every 12 hours,Q12H,,Cada 12 horas,Q12H,,Frequency,N/A,,,,
d5596cd5-5e07-11ef-8f7c-0242ac120002,,,On alternate days,A/D,,Dias alternos,A/D,,Frequency,N/A,,,,
d55a4fc8-5e07-11ef-8f7c-0242ac120002,,,Once a week,,,Una vez por semana,,,Frequency,N/A,,,,
d55aa463-5e07-11ef-8f7c-0242ac120002,,,Twice a week,,,Dos veces por semana,,,Frequency,N/A,,,,
d55af304-5e07-11ef-8f7c-0242ac120002,,,Thrice a week,,,Tres veces por semana,,,Frequency,N/A,,,,
d55b3879-5e07-11ef-8f7c-0242ac120002,,,Every 2 weeks,,,Cada 2 semanas,,,Frequency,N/A,,,,
d55b7bda-5e07-11ef-8f7c-0242ac120002,,,Every 3 weeks,,,Cada 3 semanas,,,Frequency,N/A,,,,
d55bc037-5e07-11ef-8f7c-0242ac120002,,,Once a month,,,Una vez al mes,,,Frequency,N/A,,,,
d5d7b695-5e07-11ef-8f7c-0242ac120002,,,Five times a day,,,Cinco veces al dia,,,Frequency,N/A,,,,
d5d80cd5-5e07-11ef-8f7c-0242ac120002,,,Four days a week,,,Cuatro dias por semana,,,Frequency,N/A,,,,
d5d858de-5e07-11ef-8f7c-0242ac120002,,,Five days a week,,,Cinco dias por semana,,,Frequency,N/A,,,,
d5d8b2a7-5e07-11ef-8f7c-0242ac120002,,,Six days a week,,,Seis dias por semana,,,Frequency,N/A,,,,