Concept,Member,Member Type,Sort Weight,_version:1,_order:1000
d462489d-5e07-11ef-8f7c-0242ac120002,d4627331-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,1,,
d462489d-5e07-11ef-8f7c-0242ac120002,d4631c91-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,2,,
d462489d-5e07-11ef-8f7c-0242ac120002,d4634f75-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,3,,
d462489d-5e07-11ef-8f7c-0242ac120002,d46382f3-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,4,,
d462489d-5e07-11ef-8f7c-0242ac120002,d463b632-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,5,,
d462489d-5e07-11ef-8f7c-0242ac120002,d463e5fc-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,6,,
d462489d-5e07-11ef-8f7c-0242ac120002,d464141a-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,7,,
d462489d-5e07-11ef-8f7c-0242ac120002,d464733f-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,8,,
d462489d-5e07-11ef-8f7c-0242ac120002,d55f8c66-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,9,,
d462489d-5e07-11ef-8f7c-0242ac120002,d55fdd24-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,10,,
d462489d-5e07-11ef-8f7c-0242ac120002,d5602ce2-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,11,,
d462489d-5e07-11ef-8f7c-0242ac120002,d5607904-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,12,,
d462489d-5e07-11ef-8f7c-0242ac120002,d5d3db65-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,13,,
d462489d-5e07-11ef-8f7c-0242ac120002,d5d40e6d-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,14,,
d462489d-5e07-11ef-8f7c-0242ac120002,d5d43f88-5e07-11ef-8f7c-0242ac120002,CONCEPT-SET,15,,